,importance
OverTime,0.8269874137940733
YearsSinceLastPromotion,0.49839441796028183
TotalWorkingYears,0.4680008913076104
EnvironmentSatisfaction,0.4600944680639057
NumCompaniesWorked,0.45360699423645
Role_Research Director,0.4474068973869434
JobSatisfaction,0.40000451741579124
Age,0.3950576665309853
Role_Laboratory Technician,0.38305895811462354
DistanceFromHome,0.376380960824263
YearsWithCurrManager,0.35985708249035153
JobInvolvement,0.35318193888128135
Non-Travel,0.3345399462509661
YearsInCurrentRole,0.3217960009120066
Travel_Frequently,0.3126169577568266
WorkLifeBalance,0.29200393584733303
Role_Sales Representative,0.2865249051289789
StockOptionLevel,0.2791003939392297
RelationshipSatisfaction,0.27432642213057445
Role_Healthcare Representative,0.24263285048538183
Status_Single,0.22716953322134853
JobLevel,0.19846099983853377
TrainingTimesLastYear,0.1812915893698002
Role_Human Resources,0.18047778582954552
DailyRate,0.17846716379470198
Education_Other,0.17447612535104795
Role_Manufacturing Director,0.16815491035917213
Education_Technical Degree,0.15812500460309267
Education_Human Resources,0.14729492923426998
Gender,0.147013522494905
Status_Divorced,0.1329740564845369
Department_Human Resources,0.12925358570957238
PercentSalaryHike,0.10866416534526556
YearsAtCompany,0.10298312636936843
Status_Married,0.10095978456934146
Role_Research Scientist,0.09924130951995498
Education_Medical,0.08652559897804668
Role_Sales Executive,0.08176415200821868
Role_Manager,0.07676719959221204
PerformanceRating,0.07212983794676209
Department_Sales,0.06978258357434905
Education_Marketing,0.05314626597093941
Travel_Rarely,0.04510481991392972
MonthlyIncome,0.02615454665666155
MonthlyRate,0.01778596176641852
Department_Research & Development,0.01401370409160827
Education,0.012292659726939065
Education_Life Sciences,0.009809828954318534
HourlyRate,0.008702350835902897
