,importance
MonthlyIncome,1.1671145972213806
ExternalExperienceRatio,0.9259486954371239
OverTime,0.8800489717298571
Role_Research Director,0.6711997211802456
NumCompaniesWorked,0.6360466142150792
CompanyTenureRatio,0.6301068189924302
JobLevel,0.6161025793471286
YearsAtCompany,0.5843876939819102
RoleTenureRatio,0.5218857174395196
Role_Human Resources,0.49488376129411005
SatisfactionIndex,0.4527167803050005
DistanceFromHome,0.4314440734371154
Department_Human Resources,0.42524543442765866
Non-Travel,0.39872820834030837
YearsInCurrentRole,0.3948348611381326
YearsSinceLastPromotion,0.376748749356598
Role_Sales Representative,0.36772955965336007
Travel_Frequently,0.35261702053727756
Role_Sales Executive,0.3301184405585122
Age,0.32715820984012217
Role_Laboratory Technician,0.32528153275294547
EnvironmentSatisfaction,0.3074595456046019
Role_Healthcare Representative,0.29916477403582536
IncomePerJobLevel,0.2932734859075081
StockOptionLevel,0.2782069816562144
JobInvolvement,0.256484883808641
Status_Single,0.23696748937978332
Role_Manager,0.22791958792076397
Role_Manufacturing Director,0.22514927297811502
JobSatisfaction,0.20483438982011287
Education_Technical Degree,0.2006486104530654
TrainingTimesLastYear,0.19900855086349767
Role_Research Scientist,0.1911369034163525
Department_Research & Development,0.18817329355491239
ManagerTenureRatio,0.18628297811650374
WorkLifeBalance,0.17184206476261674
DailyRate,0.16958019837670935
Education_Human Resources,0.16572321162891288
Gender,0.16096796217747664
TotalWorkingYears,0.14465182350074263
Status_Divorced,0.14022233980423973
Education_Other,0.13949741558565493
PercentSalaryHike,0.12520624066644423
PromotionGapRatio,0.1102566776629338
Status_Married,0.10404910599691528
RelationshipSatisfaction,0.10360223609553282
Education_Medical,0.07881927368088841
PerformanceRating,0.06072624182821452
Education_Life Sciences,0.054952928837081604
CareerExperienceRatio,0.049772237486311224
OvertimeLowBalance,0.049239627881823095
Education_Marketing,0.03952911823934817
Travel_Rarely,0.036539931758319086
YearsWithCurrManager,0.0356405613082926
Education,0.027401339584101934
HourlyRate,0.0160009388086016
Department_Sales,0.012182799473901561
MonthlyRate,0.0023260227295793675
