Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Non-Travel,Travel_Frequently,Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Education_Human Resources,Education_Life Sciences,Education_Marketing,Education_Medical,Education_Other,Education_Technical Degree,Role_Healthcare Representative,Role_Human Resources,Role_Laboratory Technician,Role_Manager,Role_Manufacturing Director,Role_Research Director,Role_Research Scientist,Role_Sales Executive,Role_Sales Representative,Status_Divorced,Status_Married,Status_Single
37,1017,1,2,3,1,83,2,1,1,3920,18697,2,0,14,3,1,1,17,2,2,3,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,104,2,3,1,1,69,3,1,1,2074,26619,1,1,12,3,4,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,1473,8,4,3,1,74,3,2,3,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
59,818,6,2,2,0,52,3,1,3,2267,25657,8,0,17,3,4,0,7,2,2,2,2,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
54,584,22,5,2,1,91,3,4,3,17426,18685,3,0,25,4,3,1,36,6,3,10,8,4,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,144,22,3,4,0,46,1,1,3,4230,19225,0,0,15,3,3,0,6,2,3,5,4,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,181,2,4,4,0,97,4,1,4,2932,5586,0,1,14,3,1,3,6,3,3,5,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,328,1,3,3,0,86,2,1,3,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
38,903,2,3,3,0,81,3,2,2,4855,7653,4,0,11,3,1,2,7,2,3,5,2,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,691,9,3,4,0,57,3,1,2,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
