MonthlyIncome,ExternalExperienceRatio,OverTime,Role_Research Director,NumCompaniesWorked,CompanyTenureRatio,JobLevel,YearsAtCompany,RoleTenureRatio,Role_Human Resources,SatisfactionIndex,DistanceFromHome,Department_Human Resources,Non-Travel,YearsInCurrentRole,YearsSinceLastPromotion,Role_Sales Representative,Travel_Frequently,Role_Sales Executive,Age,Role_Laboratory Technician,EnvironmentSatisfaction,Role_Healthcare Representative,IncomePerJobLevel,StockOptionLevel,JobInvolvement,Status_Single,Role_Manager,Role_Manufacturing Director,JobSatisfaction,Education_Technical Degree,TrainingTimesLastYear,Role_Research Scientist,Department_Research & Development,ManagerTenureRatio,WorkLifeBalance
3920,0.7777777777777778,0,0,2,0.16666666666666666,1,3,0.25,0,1.8,1,0,0,1,0,0,0,0,37,0,3,0,3920.0,1,2,0,0,0,1,0,2,1,1,0.5,2
2074,0.0,1,0,1,0.5,1,1,0.0,0,2.4,2,0,0,0,0,0,0,0,35,1,1,0,2074.0,1,3,0,0,0,1,0,2,0,1,0.0,3
4522,0.3333333333333333,1,0,4,0.5555555555555556,2,5,0.3333333333333333,0,3.2,8,0,0,2,0,0,0,0,43,0,3,1,2261.0,0,3,0,0,0,3,0,3,0,1,0.3333333333333333,3
2267,0.625,0,0,8,0.25,1,2,0.6666666666666666,1,2.8,6,1,0,2,2,0,0,0,59,0,2,0,2267.0,0,3,0,0,0,3,0,2,0,0,0.6666666666666666,2
17426,0.7027027027027027,0,0,3,0.2702702702702703,4,10,0.7272727272727273,0,2.8,22,0,0,8,4,0,0,0,54,0,2,0,4356.5,1,3,0,1,0,3,0,6,0,1,0.6363636363636364,3
4230,0.14285714285714285,0,0,0,0.7142857142857143,1,5,0.6666666666666666,0,2.8,22,0,0,4,4,0,0,0,35,1,4,0,4230.0,0,1,1,0,0,3,0,2,0,1,0.5,3
2932,0.14285714285714285,1,0,0,0.7142857142857143,1,5,0.0,0,3.2,2,0,0,0,1,0,0,0,34,0,4,0,2932.0,3,4,0,0,0,4,0,3,1,1,0.3333333333333333,3
3690,0.3333333333333333,0,0,2,0.5,1,3,0.5,0,2.8,1,0,0,2,0,0,0,0,50,1,3,0,3690.0,1,2,0,0,0,3,0,2,0,1,0.5,2
4855,0.25,0,0,4,0.625,2,5,0.3333333333333333,0,2.4,2,0,0,2,1,0,0,0,38,0,3,0,2427.5,2,3,0,0,1,2,0,2,0,1,0.6666666666666666,3
2024,0.5714285714285714,0,0,6,0.2857142857142857,1,2,0.6666666666666666,0,2.8,9,0,1,2,2,0,0,0,27,0,4,0,2024.0,1,3,0,0,0,2,0,1,1,1,0.6666666666666666,1
